"job_id","company_name","job_title","job_description","responsibilities","required_skills","job_qualification","job_salary","judge_model","mean_score","score_pedagogy","score_audience","score_ai_relevance","score_responsible_ai","score_cross_sector_context","score_overall_fit","ai_pedagogy_related","confidence","rationale"
"11","Boston University","Assistant Director, AI & Education","Boston University’s Institute for Excellence in Teaching & Learning is focused on elevating and transforming teaching and learning innovation across the entire BU ecosystem to deliver a superior student experience. The Assistant Director, AI and Education, plays a lead role in designing and developing effective and ethical uses of AI and other innovations in the classroom. This is a cross disciplinary position that works in collaboration with faculty, academic leaders and Institute management to responsibly integrate AI into teaching and learning. This individual supports various elements of the Institute and aligns with the overall strategic objectives of the Institute to provide resource support in the areas of curriculum planning development, assessment, integrated learning strategies, etc. The role also facilitates workshops and other forums, as desired by the Institute, to build community, collaboration, and adoption across stakeholder groups. This role partners closely with Institute leaders, as well as BU’s AI Development Accelerator, and will guide and influence change through the development and delivery of strategies and resources for AI in teaching and learning that empower collaboration, scale, flexibility, results and innovation. The individual in this role has expertise in the use of AI and applications in an educational setting.","Develop programming based on the effective and ethical use of AI, which may include convening faculty who are implementing AI in their classrooms, creating and curating AI related learning resources, as well as toolkits and professional development opportunities (both online and in person). Engage with BU’s schools and colleges to foster awareness and adoption of AI in ways that enhance teaching and learning. Pursue opportunities to integrate innovative approaches into existing curriculum and newly designed educational experiences. Create and curate learning materials, tutorials, courses and resources that guide faculty and students in understanding AI and related technologies. Research and recommend AI tools and approaches that align with pedagogical goals and enhance student learning outcomes. Stay current on the latest trends in AI and education to bring critical insights to faculty in a rapidly evolving field. Consult with faculty on curricular planning to incorporate AI, and identify opportunities for enhancement. Consider models for training, certification and recognition to promote faculty advancement and readiness. Foster a cross campus network of faculty to explore AI applications in pedagogy. Support and lead workshops, events or other initiatives that promote AI awareness in teaching and learning across the BU faculty community. Provide a forum for teaching and learning communities (vis a vis office hours, in person sessions, web events, etc.) to discuss common AI in teaching and learning interest areas. Review budget and award submissions for innovative and academic pilot awards that relate to AI, collaborating with the Institute Governance Committee. Support other initiatives, as required or assigned, by the Institute and Institute leadership.","Experience in higher education with at least 7-10 years in leading academic and teaching and learning initiatives in a university environment. Strong expertise in the use of generative AI and application in an educational setting. Demonstrated record of supporting innovative teaching and learning with significant experience leveraging new approaches for measurable gain. Experience in organizing and delivering effective faculty professional development programs in support of digital teaching and learning. Significant experience providing faculty consultations, teaching support programming both online and in person. Experience working with faculty, students and administrators and influencing, leading and driving initiatives across a matrix of schools and departments. Ability to work collaboratively and effectively with professionals and faculty to drive results and scale in a large matrixed academic setting. Strong oral and written presentation skills. A master's degree in Education, Professional Development or related field; a PhD is desirable.","Experience in higher education with at least 7-10 years in leading academic and teaching and learning initiatives in a university environment. A master's degree in Education, Professional Development or related field; a PhD is desirable.","$95,000.00 - $125,000.00 per year","mistral","4.666666666666667","5","5","5","3","5","5","True","1.0","Strong evidence of AI-related teaching, learning design, facilitation, assessment, documentation, and curriculum development across an edtech context in higher education."
"12","Anthropic","","We're looking for a talented and motivated individual to join our team as a Claude Campus Program participant. As a participant, you will work on a variety of tasks and projects, including but not limited to:","","","","","mistral","0.8333333333333334","0","0","5","0","0","0","False","0.0","No evidence of pedagogical indicators, learner focus, or cross-sector context in the job posting."
"13","Stratfield Consulting","AI Trainer/Instructional Designer","Stratfield is seeking an AI Trainer/Instructional Designer to join our client’s People Team. The ideal candidate will have a strong background in AI enablement, instructional design, and cross-functional collaboration. This role will be responsible for designing and delivering learning programs that accelerate AI adoption across the organization and empower teams to use AI responsibly and effectively.","Collaborate with stakeholders across product, engineering, legal, compliance, and business units to identify workflows where AI can add measurable value. Lead and expand the AI Champion Group by facilitating meetings, providing enablement resources, and empowering champions to act as advocates. Design and deliver training programs, workshops, playbooks, and best practice guides to raise AI literacy across the organization. Conduct demos and hands-on sessions to showcase AI tools and practical use cases. Create and manage continuous learning initiatives, including functional learning plans and organizational strategies.","Strong background in AI enablement, instructional design, and cross-functional collaboration","Required: Not explicitly stated","","mistral","3.1666666666666665","4","1","5","0","5","4","False","0.67","While there is a strong mention of AI/ML, the job posting lacks clear indicators of pedagogical activities, learner focus, and responsible AI or governance. The role seems to be more focused on AI enablement and cross-functional collaboration within an organization rather than AI-related teaching, learning design, or educational enablement."
"14","WGU","Program Experience Strategist - AI Futures Team","The Strategist within the Program Experience Futures team plays a pivotal role in shaping the future of the university's digital learning experiences. This role is accountable for developing program experience strategies, fostering collaboration and alignment across departments, conducting research and evaluation, analyzing data to derive insights, ensuring ethical and legal compliance, implementing pilot programs, facilitating training and development initiatives, and optimizing performance metrics.","Develops and implements comprehensive strategies to enhance program experiences and student outcomes. Fosters collaboration and alignment among various departments and stakeholders to ensure the successful execution of strategies. Conducts research and evaluation of emerging technologies, pedagogical approaches, and industry best practices to inform decision-making. Utilizes data analysis techniques to derive actionable insights and drive data-informed decision-making processes. Ensures ethical and legal compliance in the development and deployment of technologies and digital learning initiatives. Plans, implements, and evaluates pilot programs to test the efficacy of new technologies and strategies. Develops and delivers training programs to educate faculty and staff on technologies, best practices, and ethical considerations. Establishes key performance indicators (KPIs) and metrics to measure the effectiveness of strategies and continuously optimize program experiences. Performs other job-related duties as assigned.","In-depth understanding of educational technologies and data analytics. Strong analytical and problem-solving skills with the ability to interpret complex data sets. Excellent communication and interpersonal skills to collaborate effectively with diverse stakeholders. Knowledge of ethical and legal considerations related to digital learning technologies. Experience in project management, including planning, execution, and evaluation. Ability to stay abreast of emerging trends and technologies in higher education and online learning. Proficiency in data visualization tools and statistical analysis software. Demonstrated ability to lead cross-functional teams and drive organizational change. Demonstrated experience in developing and refining educational programs, courses, and curricula within the higher education sector. Understanding of accreditation standards, regulatory requirements, and industry best practices related to program development and institutional compliance. Proven ability to design and assess curriculum effectiveness, learning outcomes, and student engagement strategies, particularly within a Competency-based Education model. Experience with online learning platforms, learning management systems (LMS), and educational technologies used in online and hybrid learning environments. Knowledge of adult learning theories and principles, including instructional design methodologies tailored to adult learners in diverse academic settings. Ability to collaborate effectively with academic departments, faculty members, subject matter experts, and instructional designers to develop and deliver high-quality educational programs. Strong project management skills, including the ability to coordinate cross-functional teams, manage project timelines, and ensure alignment with departmental goals and objectives. Proficiency in data analysis and interpretation to inform program development decisions, assess program efficacy, and identify areas for continuous improvement. Clear and concise communication skills, with the ability to articulate program objectives, outcomes, and value propositions to internal and external stakeholders. Willingness to explore innovative approaches to program development, incorporate emerging technologies, and adapt to evolving trends and student needs in higher education.","Minimum Qualifications: Bachelor's Degree in Business Administration, Education, or related field. 2 years of experience in strategic planning, program management, or related field within higher education or similar industry. Experience with AI Innovation. Experience in data analysis and proficiency with relevant software tools. Strong project management skills, with experience managing complex projects from initiation to completion. Preferred Qualifications: Master's Degree in Business Administration, Education, or related field. Experience with educational technology platforms and learning management systems. Experience working with diverse student populations in online learning environments. Knowledge of accessibility standards and guidelines for digital learning materials. Certifications in data analysis or project management.","$97,100.00 - $145,600.00","mistral","3.8333333333333335","4","5","3","2","5","4","False","0.6","While the job posting mentions developing and delivering training programs, it does not strongly emphasize AI-related teaching, designing, facilitating, assessing, documenting, or iterating learning activities, materials, or experiences. The AI relevance is also limited."
"15","Curriculum Associates","Director, AI Adoption","At Curriculum Associates, we believe in the potential of every child and are changing the face of education technology with award-winning learning programs like i-Ready that serve a third of the nation’s K–8 students. For more than 50 years, our commitment to making classrooms better places, serving educators, and supporting accessible learning experiences for all students has driven the continuous improvement of our innovative programs. Our team of more than 2,500 employees is composed of lifelong learners who stand behind this mission, working tirelessly to serve the educational community with world-class programs and support every day.","Champion internal AI initiatives by connecting teams, surfacing scalable opportunities, and guiding strategic decision-making around amplification or containment. Help lead ideation in teams. Facilitate early-stage project definition and lead cross-functional teams through transformation planning and execution, bridging technical work with non-technical considerations. Nurture a strong pulse of innovation/new AI tool development across internal functions, incorporating these ideas into strategic opportunities leaders should consider. Create and manage project plans, track milestones, and proactively identify and address transformation risks. Lead change management efforts, including communications planning, stakeholder engagement, and operationalizing pilot experiments. Apply CA’s transformation framework to business process optimization, future-state definition, gap analysis, and stakeholder mapping. Build trust with executive stakeholders, facilitate strategic conversations, and navigate organizational dynamics to drive outcomes. Infuse structured, strategic thinking into transformation efforts, balancing innovation with operational feasibility.","Previous experience driving AI adoption initiatives within other medium to large scale organizations and teams. Deep fluency with existing AI tools and a demonstrated passion for keeping pace with new ideas in this space. Experience leading L&D initiatives inside of companies for new technologies. High emotional intelligence and ability to influence executive-level stakeholders. Strategic mindset with strong business acumen and problem-solving capabilities. Familiarity with transformation methodologies, including digital and AI-related approaches. Experience in project and change management, including implementation of research-backed frameworks. Ability to guide executive decision-making and translate strategic goals into actionable initiatives. Strong communication skills across written, verbal, and presentation formats. Ability to work effectively with technical teams and apply understanding of AI concepts and capabilities. Ability to navigate complex organizational dynamics to drive results. Growth mindset with openness to deepening expertise in AI transformation.","10+ years of experience in technology evangelism and adoption, program management, and/or change management for large-scale initiatives, with recent experience particularly around AI. The ideal candidate has led the implementation of AI-powered tools inside of an enterprise, either off-the-shelf tools like ChatGPT or Salesforce Einstein, or a custom applications.","$126,750-$233,750 per year","mistral","2.0","0","1","5","0","5","1","False","0.1","No evidence of pedagogical indicators, learner focus, or direct AI-related teaching, documentation, or educational enablement work."
"16","Duke University","Co-Lab Developer & Educator, AI Spec","The Innovation Co-Lab is looking for a Co-Lab Developer & Educator, AI Specialist to join our team in the Office of Information Technology (OIT). This is an exciting opportunity to shape the future of AI in higher education by combining your passion for teaching, technical development, and ethical innovation.","Develop and deliver comprehensive training sessions on various technical topics such as AI (LLMs, Duke-specific tooling, Image Generation, prompt engineering, etc), full stack web development, unix based tools and infrastructure, software design principles and more. Provide guest lectures to groups or academic courses on relevant technical topics. Develop both in-person workshops and self-paced learning experiences from beginner to advanced levels. Create documentation and best practices guides for AI development workflows. Assist with promotion of the Co-Lab's capabilities through demonstrations, events, social media, and technical presentations. Build and maintain AI-powered web applications, infrastructure, APIs, and microservices that serve the Duke community. Prototype and deploy working solutions, including knowledge bases, MCP infrastructure, or custom GPTs, for students, faculty, researchers, or staff exploring AI in service of their missions. Develop new and expand existing tooling to implement and support these solutions. Develop and lead a group of student developers providing them both technical leadership and ensuring project completion. Serve as a technical consultant to faculty and other members of the Duke community on technical hurdles outside their field of expertise. Meet and engage with members of the Duke community in an office hours environment to help them better grasp and implement their own technical solutions. Work closely with other groups within the Office of Information Technology on joint AI infrastructure initiatives, including the AI Suite project and future AI modernization efforts. Collaborate with partners to not only brainstorm ideas but build and deliver proofs-of-concept that demonstrate feasibility and integrate Duke systems and practices (ie. LMS plug-ins, web interfaces, internal data sources/tools, etc.). Other duties as assigned.","Strong interest in teaching AI/ML concepts to diverse audiences, Proficiency in an object-oriented programming language, Proficiency with Git version control, Experience with full stack web development frameworks (Rails, Django, MERN, etc.), Experience with containerized environments (Docker, Podman), Experience building and maintaining APIs and microservices, Excellent verbal and written communication skills, Understanding of AI ethics and responsible AI practices, Familiarity with AI security, data privacy, and adversarial robustness, Experience with generative AI and prompt engineering, Knowledge of NLP and computer vision applications, Experience with AI model optimization and edge deployment, Familiarity with AI hardware acceleration (GPUs, TPUs), Experience with data engineering and AI pipelines","Minimum Requirements: Bachelor's degree in Computer Science, Data Science, Machine Learning, Electrical Engineering, Computer Engineering, or equivalent combination of education and experience. Experience building and deploying AI applications (e.g., GPTs, embeddings, agentic workflows). Preferred Qualifications: Understanding of AI ethics and responsible AI practices, Familiarity with AI security, data privacy, and adversarial robustness, Experience with generative AI and prompt engineering, Knowledge of NLP and computer vision applications, Experience with AI model optimization and edge deployment, Familiarity with AI hardware acceleration (GPUs, TPUs), Experience with data engineering and AI pipelines","","mistral","4.833333333333333","5","5","5","4","5","5","True","1.0","Strong evidence of AI-related teaching, learning design, training, documentation, and responsible AI practices across an edtech context."
"17","Google","Content and Narrative Strategist, Learning and Education","Product and Business Strategy Leaders bring together teams across Google’s functions to help products execute optimally. Our team pushes Google to scale at key points that refine our products and infrastructure by executing efficiently, bringing solid business sense and sound judgment, and working effectively across organizational lines.","Develop and execute a holistic narrative and content strategy for the Google Learning leadership, ensuring consistency across all external and internal platforms. Serve as the lead writer and content creator for the Learning FA Leader, crafting speeches, presentations, articles, and various communications that translate concepts into clear, engaging narratives. Collaborate extensively with cross-functional partners across Communications, Marketing, Public Policy, Product, and Strategy to ensure cohesive external messaging and alignment of the Learning narrative. Identify and secure high-leverage opportunities to effectively disseminate the Learning narrative, showcase organizational impact, and tailor content for specific audiences and engagement goals. Measure communication effectiveness with the Operations team, leveraging data to refine strategy, while staying current on industry trends and best practices in executive communications.","Excellent writing, storytelling, editing, and proofreading skills, with the ability to distill topics into clear, human-centered narratives. Excellent tactical thinking, project management, and cross-functional collaboration skills, effective with C-Level executives and multiple projects in a fluid environment.","Minimum qualifications: Bachelor's degree or equivalent practical experience. 11 years of experience in management consulting, product management and strategy, or analytics in a technology company. Experience working with and analyzing data, and managing multiple cross-functional programs or projects. Preferred qualifications: Master's degree in Communications, Journalism, English, Marketing, or related field. Experience in Artificial Intelligence, education, technical policy, or social impact narratives.","$171,000-$254,000 + bonus + equity + benefits","mistral","0.6666666666666666","0","1","1","0","1","1","False","0.0","No evidence of AI-related teaching, learning design, training, documentation, or educational enablement work."
"18","Dana-Farber Cancer Institute","Associate Director, AI Fluency and Education","Reporting to the Director of Data Platform & Analytics Enablement in the Department of Informatics and Analytics, the Associate Director, AI Fluency & Education is responsible for leading the development and execution of the Institute's rapidly scaling AI education and fluency programs. This role plays a pivotal part in empowering staff across Dana-Farber to effectively and safely leverage AI technologies to advance our mission of defying cancer and improving patient outcomes.","Designs, develops, and delivers comprehensive AI education programs, including training courses, workshops, webinars, and certification pathways tailored to various competency levels. Builds a certification framework that recognizes and validates the AI competencies of employees across the Institute. Sources, creates, and curates educational content such as training courses, videos, learning paths, presentations, frameworks, and exams to build a robust AI curriculum. Collaborates with subject matter experts to ensure content accuracy, relevance, and alignment with Institute goals. Leads and facilitates interactive workshops and webinars to engage participants and enhance learning outcomes. Provides coaching and mentorship to employees undertaking AI-capstone projects, guiding them through use-case design, development, and implementation to ensure successful outcomes. Offers one-on-one support and group coaching sessions to enhance participants' understanding and practical application of AI concepts. Fosters a supportive and inclusive learning environment that encourages experimentation, innovation, and continuous improvement. Develops and implements strategies to promote AI fluency across the Institute, aligning with organizational goals and regulatory requirements. Collaborates with cross-functional teams and departmental leaders to integrate AI-education initiatives seamlessly into the organizational culture. Establishes metrics and key performance indicators (KPIs) to track the effectiveness and impact of AI-education programs, providing regular reports to leadership. Manages program budgets, resources, and timelines effectively, ensuring projects are delivered on schedule and within scope. Serves as an AI-thought leader within the Institute, staying abreast of the latest advancements in AI technologies and educational methodologies. Helps build and lead an engaged community of practice around AI, organizing events such as hackathons, guest speaker sessions, solution showcases, and skill-building activities. Advocates for the ethical use of AI and adherence to regulatory compliance in all educational content and initiatives. Actively contributes to the development of the Institute's AI-fluency program at scale, including leading training workshop sessions and creating training course materials. Serves as the primary contact for AI-education initiatives to senior-level stakeholders, managing relationships with stakeholders at all levels. Communicates regular status updates on program efforts to Informatics leadership, project sponsors, business owners, and internal stakeholders, managing expectations effectively. Coordinates regular team meetings to discuss program-related activities, issues, changes, and communications as needed. Leads and grows a team of 1-2 direct reports, including mentorship, coaching, upskilling, and management.","Deep understanding of AI technologies, including machine learning, deep learning, natural language processing, and generative AI. Demonstrable understanding of generative AI technologies, including expert-level prompt engineering skills, and motivation for staying up to date on the latest advancements. Proven ability to translate complex technical concepts into accessible learning materials for diverse audiences. Understanding of the concepts and processes required to design and lead compelling education and training programs for audiences of varying levels of technical maturity. Demonstrated leadership skills with experience in coaching, mentoring, and developing talent. Skilled in guiding and supporting career development and performance management. Ability to foster stakeholder teams to reach their full potential through change management, risk mitigation, and strategic planning. Excellent presentation and communication skills, capable of engaging audiences at all levels of technical proficiency. Ability to present results clearly, persuasively, and accurately, both verbally and in writing. Strong interpersonal skills; able to build relationships and collaborate effectively across departments. Outstanding project, program, and portfolio management skills, with excellent analytical, organizational, and time-management abilities. Ability to manage multiple initiatives simultaneously in a complex, fast-paced work environment. Proficiency in using educational technologies and platforms, including learning management systems (LMS), video conferencing tools, and content creation software. Familiarity with tools such as SQL, Python, data visualization, generative AI platforms is a plus. Ability to think strategically and execute tactically; results-oriented with a focus on achieving measurable outcomes. Skilled at identifying and validating the business value of initiatives. Curious and eager to learn about others' work and perspectives to develop content knowledge. High level of empathy, professionalism, and a service-oriented mindset. Possesses a mindset of inclusive, diverse thinking and behaviors. Demonstrates self-awareness, agility and flexibility, a strong work ethic, and the ability to lead through challenging situations. Ability to think and act consistently with a broader 'we' mentality, prioritizing what's best for the group as a whole.","Bachelor's degree in a relevant field required (e.g., Computer Science, Information Systems, Data Science, Education, Business, or related discipline). Master's degree preferred. 10+ years of experience in AI, data science, analytics, or related fields, with at least 3 years in an educational or training capacity. Proven experience in designing and delivering educational programs, workshops, and training materials. Demonstrated expertise in AI technologies, including machine learning, deep learning, natural language processing, and generative AI. Experience in the biomedical, healthcare, health tech, or life sciences industry preferred. 3+ years of direct people management and/or program leadership experience. Proficiency in using educational technologies and learning management systems. Experience in curriculum development, instructional design, and adult learning principles. Experience assessing budgetary needs and acting as a responsible steward of financial resources.","Competitive","mistral","4.666666666666667","5","5","5","3","5","5","True","1.0","Strong evidence of AI-related teaching, learning design, facilitation, assessment, documentation, and curriculum development for a diverse audience across an industry context, with a focus on responsible AI and AI-related technologies."
"19","American Association of Colleges of Osteopathic Medicine (AACOM)","Technology Enhanced Education Manager","AACOM is seeking a full-time, innovative Technology Enhanced Education Manager to lead the integration of cutting-edge technologies that elevate osteopathic medical education. This position reports to the Vice President of Medical Education and plays a key role in advancing AACOM’s strategic goal of fostering technology-enabled learning environments across member colleges of osteopathic medicine (COMs). The Manager will be a hands-on collaborator—working directly with faculty, colleagues and technology partners to implement tools such as artificial intelligence (AI), simulation and digital learning platforms that enhance engagement and personalize learning. This is an exciting opportunity for an individual passionate about improving teaching and learning through technology.","Managing technology integration projects that enhance instructional design and learning outcomes, Supporting faculty and students through training, guidance, and technical assistance, Developing content, tutorials and resources for technology-enhanced teaching and learning, Collaborating with internal teams and COM faculty to implement digital learning tools and AI-supported educational strategies, Conducting applied research on the impact of technology-enhanced education, Tracking and analyzing adoption metrics to inform continuous improvement","Bachelor’s degree in higher education, instructional design, information technology or related field (required); master's degree preferred, Demonstrated experience with educational technologies and AI applications in learning environments, Proven success in developing and implementing technology-enhanced instructional content, Experience managing LMS platforms and digital learning systems, Strong problem-solving and collaboration skills, Passion for innovation in medical or higher education, Experience with simulation, virtual reality or augmented reality (preferred)","Bachelor’s degree in higher education, instructional design, information technology or related field (required); master's degree preferred, Demonstrated experience with educational technologies and AI applications in learning environments, Proven success in developing and implementing technology-enhanced instructional content, Experience managing LMS platforms and digital learning systems, Strong problem-solving and collaboration skills, Passion for innovation in medical or higher education, Experience with simulation, virtual reality or augmented reality (preferred)","$100,000.00 To $110,000.00 Annually","mistral","4.0","5","5","4","0","5","5","True","1.0","Strong evidence of AI-related learning design, developer enablement, and technology-enhanced teaching across an edtech context in the medical education sector."
"20","OpenAI","Customer Education Community Manager, Champion Network","At OpenAI, we believe that artificial general intelligence (AGI) should benefit all of humanity. To realize this vision, we’re building a team to help organizations worldwide unlock the potential of AI while upholding OpenAI’s values of safety, responsibility, and transparency. The Readiness team is responsible for driving product adoption, fostering community, and serving as a trusted resource for OpenAI’s enterprise customers. We aim to reduce time-to-value and enable confident, impactful AI use across industries and personas. We’re looking for a hands-on program manager to help build the future of AI education. The Champion Network is a core pillar of our Customer Education team’s mission: enabling every worker to build real AI fluency and lead responsible adoption across their organizations. You’ll design and scale learning experiences that equip AI Champions to drive meaningful change at work — building skills, fostering communities, and sharing proven practices to accelerate adoption.","Scale the global Champion Network for AI deployment and adoption, connecting leaders who drive real use of ChatGPT in their organizations. Design and deliver learning and community experiences, from journeys and playbooks to challenges and recognition programs, that help Champions make real world impact with AI. Turn high-touch learnings into scalable education models that reach thousands of people through content, programming, and community. Partner with Product and GTM teams to align champion programs with key adoption and success metrics. Develop the operational systems that sustain engagement, including communications, measurement, and recognition. Measure and report program impact, using data and feedback to refine and evolve the model.","8+ years of experience in education program design, learning communities, or scaled enablement, ideally including technical products and/or AI. Proven success building learning communities that connect education content with participant growth and business impact. Strong written and verbal communication skills across both technical and business contexts. A systems mindset you know how to scale efficiently through process, tools, and automation. Enthusiasm for helping organizations build AI fluency and lead responsible, sustainable transformation. Proven ability to connect learning with business outcomes.","8+ years of experience in education program design, learning communities, or scaled enablement, ideally including technical products and/or AI. Proven success building learning communities that connect education content with participant growth and business impact. Strong written and verbal communication skills across both technical and business contexts. A systems mindset you know how to scale efficiently through process, tools, and automation. Enthusiasm for helping organizations build AI fluency and lead responsible, sustainable transformation. Proven ability to connect learning with business outcomes.","$240K • Offers Equity","mistral","4.166666666666667","5","5","5","0","5","5","True","1.0","Strong evidence of AI-related learning design, developer enablement, and community building across an industry context. No explicit mention of responsible AI, but the role is focused on promoting safe and impactful AI use."
"21","Services for the Underserved (S:US)","Director, Learning & Development","Services for the Underserved (S:US) has an exciting opportunity for a Director of Learning & Development who will oversee and elevate the organization’s training and development programs to support the growth needs of the organization as well as our employees. This strategic and hands-on role will foster a culture of continuous learning, equity, and innovation through modern technologies, including AI-driven personalization, gamification, and digital platforms to support S:US business strategy.","Strategic Planning: Develop and implement a forward-thinking L&D strategy aligned with S:US’s mission of social equity and community empowerment. Champion the use of AI and data analytics to personalize learning pathways and measure impact. Integrate trauma-informed and culturally responsive practices into all learning initiatives. Build and scale the S:US Training Institute, ensuring delivery of high-quality, evidence-based training across all departments. Program Development: Design and implement engaging, evidence-based training programs using internal subject matter experts and external resources. Conduct ongoing learning needs assessments to identify skill gaps and align development with organizational goals. Create custom and off-the-shelf training solutions for hybrid learning environments. Leverage technology and process improvements to streamline L&D operations. Ensure accessibility, inclusivity, and relevance in all learning formats. Technology-Enhanced Learning: Lead the adoption of gamification strategies to increase engagement and retention in training programs. Oversee the implementation and optimization of learning management systems (LMS), mobile learning apps, for staff. Collaborate with IT and data teams to ensure secure and ethical use of AI in learning. Team & Stakeholder Engagement: Supervise a small team, including a Trainer and Administrative Assistant. Partner with program leaders to ensure L&D initiatives support business priorities and service excellence. Evaluation & Impact: Use AI-powered analytics to track learning outcomes, behavioral change, and organizational impact. Report on KPIs such as training completion rates, learner satisfaction, and performance improvement. Continuously refine programs based on feedback and data insights.","Proficiency in learning management systems (LMS), adaptive learning technologies, and gamification tools. Certifications in instructional design, AI in education, or gamification preferred. Solid understanding of clinical practices including motivational interviewing, cognitive behavioral therapy (CBT), trauma-informed care, and Mental Health First Aid. Deep knowledge of cultural humility and equity-centered learning approaches. Expertise in psychiatric and psychosocial rehabilitation, with a recovery-focused lens. Familiarity with New York State’s behavioral health system and entitlement services for individuals with psychiatric disabilities.","Bachelor’s or Master’s degree in Education, Organizational Development, Social Work, or related field. Minimum of 5 years of progressive experience in Learning & Development, ideally in the social services, nonprofits, or public sector. Strong expertise in adult learning theory, recovery-oriented care, and psychiatric rehabilitation, with a commitment to social justice.","$140,000.00 - $150,000.00 per year","mistral","4.0","4","4","5","3","4","4","True","0.8","The job posting shows strong evidence of AI-related learning design, mentions of AI tools in learning contexts, and a focus on learner development. However, the role is more centered around social services and non-profit sectors, with less emphasis on engineering, industry, or government contexts."
"22","The George Washington University","Educational Developer, STEM","The George Washington University university-wide Center for Teaching Excellence has an opening for an Educational Developer with expertise in STEM pedagogy and adapting pedagogy and curricular design to support learning in the new educational landscape that includes generative AI. The Center for Teaching Excellence is located in the Gelman Library on the Foggy Bottom campus and is responsible for working with over 2,500 faculty and 10,000 graduate students. The Educational Developer will be a member of the faculty development team that offers workshops, learning communities, and individual consultations to support faculty in effective course design and teaching. They will join a team of four energetic and talented Faculty Development professionals with expertise in the humanities and social sciences, accessibility, and inclusive teaching.","Provide support to STEM faculty who wish to improve their teaching by developing, advertising and offering new workshops, reading groups, and individual consultations. Design and deliver workshops, short-courses, and other teaching and learning programming. Develop materials and resources that encourage the use of effective, evidence-based teaching and assessment strategies for STEM teaching. Contribute to large scale events designed to support high quality teaching including Teaching Day, The Course Design Institute, Graduate Student Training, and The Teaching Network for Early Career Faculty. Recommend effective and creative use of technologies and artificial intelligence (AI) in STEM fields. Design, develop, and implement evaluation procedures that help faculty to assess the effectiveness of the technology and pedagogy they use in their teaching. Remain current on best practices in STEM education. Remain current on and evaluate emerging technologies that have potential value for teaching and learning. Contribute to Teaching and Learning Scholarship (i.e., SoTL, DBER) or the Scholarship of Educational Development through conference presentations or publications. Perform other related duties as assigned.","Knowledge of existing and emerging evidence-based practices for teaching and curricular design in STEM. Knowledge of existing and emerging practices for modifying teaching to either prevent use or intentionally integrate use of generative AI. Strong written and oral communication skills. Strong scientific reasoning and data analysis skills. Proven ability to work in a collaborative and collegial environment; to inspire confidence and trust; and create a positive, inclusive, and empowering culture. Commitment to professional growth. Experience working with faculty from a variety of academic cultures and disciplines. Knowledge of diverse student populations and issues faced by those from underrepresented groups. Knowledge of student learning and faculty development literature. Record of research, publication, and/or professional contributions.","Qualified candidates will hold a Bachelor’s degree in an appropriate area of specialization plus 5 years of relevant professional experience, or, a Master’s degree or higher in a relevant area of study plus 3 years of relevant professional experience. Minimum Qualifications: experience. Degree must be conferred by the start date of the position. Degree requirements may be substituted with an equivalent combination of education, training and experience. PhD preferred. Experience working in a teaching center or similar unit. Two years professional experience working with STEM faculty to improve teaching in a higher educational setting preferred.","$64,483.58 - $106,415.52","mistral","4.0","5","5","4","0","5","5","True","1.0","Strong evidence of AI-related learning design, developer enablement, and integration of AI tools in a higher education setting across an academia context."
"23","Quantam Solutions","IT Applications Training Specialist","We are seeking an experienced IT Applications Training Specialist to design, develop, and deliver engaging training programs for IT applications. The ideal candidate has a background in instructional design, familiarity with ADDIE, SAM, or Agile methodologies, and the technical skills to create modern, just-in-time learning modules for adult learners. This role, based in Frankfort, KY, will be both in-office and remote. The candidate will also develop and review teaching aids such as training manuals, multimedia visual aids, and computer-based reference materials, tailored to the implementation and ongoing use of new IT systems related to Unemployment Insurance (UI). May provide classroom and individual user training on various applications; may develop curriculum and instructional design, including development of teaching aids (training manuals, multimedia visual aids, computer-based training and reference materials)","Review the new IT application under development to design and produce microlearning videos, screen demos, and other instructional content that can be embedded into the application or incorporated into the broader training plan. Evaluate existing training materials and update staff resources to ensure claims adjusters, adjudicators, and call center personnel are fully trained and familiar with the new system. Analyze roles and functions within the application and develop a structured training path for new users","Background in instructional design, familiarity with ADDIE, SAM, or Agile methodologies, technical skills to create modern, just-in-time learning modules for adult learners","No explicit qualifications mentioned","Competitive hourly wages, health benefits, paid time off, and a 401(k) plan","mistral","2.3333333333333335","4","3","0","0","4","3","False","0.5","While the job posting mentions instructional design, it does not explicitly involve AI/ML, learning, training, or educational enablement work. The audience is specified, but the role does not seem to be focused on AI-pedagogy."
"24","M2 Strategy","Instructional Design Consultant","The Firm is a technology and strategy consulting firm whose motto, Think Differently, is integrated within all components of our solutions and operations. We integrate artificial intelligence into our consulting practice to streamline operations, enhance decision-making, and deliver measurable results for our clients. Our teams work side by side with AI tools every day to design smarter solutions and uncover efficiencies that traditional methods often miss. As a Platinum Partner with Smartsheet, we help our clients transform, modernize, and digitize their operations while positioning their workforces for the future. We live our four core values: Be Kind, Be the Best You, Bring the WOW factor, and Pay It Forward, which has provided success for our employees and our clients. We don't settle for ordinary; we live, design, and implement the exceptional. We develop leaders at all levels and offer advancement opportunities for individuals looking to develop a long-lasting career with the Firm.","","","","$75K/yr - $115K/yr","mistral","1.0","0","0","5","0","1","0","False","0.0","No evidence of pedagogical indicators, learner focus, or cross-sector context related to AI-pedagogy."
